,pk,popularity,title,vote_count,vote_average,genres,director,genres_literal,weighted_vote
0,526896,12854.042,모비우스,1091.0,6.4,"['Action', 'Science Fiction', 'Fantasy']",Pietro Scalia,Action Science Fiction Fantasy,7.090611620475157
1,752623,11818.362,로스트 시티,738.0,6.8,"['Action', 'Adventure', 'Comedy', 'Romance']",Marlene Stewart,Action Adventure Comedy Romance,7.321144512702585
2,675353,8162.111,수퍼 소닉 2,1600.0,7.8,"['Action', 'Science Fiction', 'Comedy', 'Family', 'Adventure']",Jim May,Action Science Fiction Comedy Family Adventure,7.680761209593326
3,639933,8011.091,노스맨,1071.0,7.5,"['Action', 'Adventure', 'Fantasy', 'Thriller']",Arnon Milchan,Action Adventure Fantasy Thriller,7.5368535644697285
4,836225,3742.027,엑소시즘 오브 갓,170.0,6.9,['Horror'],Enrique Echeverría,Horror,7.4979863676263525
5,335787,6209.995,언차티드,2085.0,7.2,"['Action', 'Adventure']",Denise Chamian,Action Adventure,7.356970385535589
6,414906,5912.925,더 배트맨,4744.0,7.8,"['Crime', 'Mystery', 'Thriller']",William Hoy,Crime Mystery Thriller,7.739854330185788
7,453395,3097.075,닥터 스트레인지: 대혼돈의 멀티버스,1819.0,7.4,"['Fantasy', 'Action', 'Adventure']",Danny Elfman,Fantasy Action Adventure,7.475588145860967
8,634649,5399.104,스파이더맨: 노 웨이 홈,12990.0,8.1,"['Action', 'Adventure', 'Science Fiction']",Sanja Milković Hays,Action Adventure Science Fiction,8.040948311905321
9,629542,3098.188,배드 가이즈,484.0,7.8,"['Animation', 'Comedy', 'Action', 'Family', 'Crime']",Susan Misner,Animation Comedy Action Family Crime,7.616907807436969
10,628900,4191.786,더 컨트랙터,247.0,6.6,"['Action', 'Thriller']",Pierre Aïm,Action Thriller,7.4329376668644525
11,508947,3534.772,메이의 새빨간 비밀,,7.5,"['Animation', 'Family', 'Comedy', 'Fantasy']",Ren Klyce,Animation Family Comedy Fantasy,
12,406759,3451.712,문폴,,6.5,"['Science Fiction', 'Adventure', 'Action']",John Papsidera,Science Fiction Adventure Action,
13,785985,3645.218,투캅스 인 파리: 더 테이크다운,,5.8,"['Comedy', 'Action']",Louis Leterrier,Comedy Action,
14,893370,2155.339,Virus-32,,6.9,['Horror'],Gustavo Hernández,Horror,
15,763285,2957.028,앰뷸런스,,7.0,"['Action', 'Thriller', 'Crime']",Denise Chamian,Action Thriller Crime,
16,284052,1715.917,닥터 스트레인지,,7.4,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",Tom Johnson,Action Adventure Fantasy Science Fiction,
17,799876,2696.795,아웃핏,,7.0,"['Crime', 'Drama', 'Thriller']",William Goldenberg,Crime Drama Thriller,
18,883502,1831.292,포트리스: 스나이퍼스 아이,,5.8,"['Crime', 'Action']",George Furla,Crime Action,
19,568124,1344.651,엔칸토: 마법의 세계,,7.7,"['Animation', 'Comedy', 'Family', 'Fantasy']",Shannon Mills,Animation Comedy Family Fantasy,
20,606402,1988.357,야차,,6.1,['Action'],Kim Sang-bum,Action,
21,829557,1134.851,365일: 오늘,,5.6,"['Romance', 'Drama']",Barbara Bialowas,Romance Drama,
22,951470,1314.749,실버턴 포위 작전,,6.6,"['Action', 'Crime', 'Drama']",Michael L. Games,Action Crime Drama,
23,661791,996.775,La abuela,,5.9,['Horror'],Enrique López Lavigne,Horror,
24,294793,1767.153,배신의 만찬,,6.0,"['Thriller', 'Action']",Jina Jay,Thriller Action,
25,585083,1293.221,몬스터 호텔 4: 뒤바뀐 세계,,7.1,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure']",Mark Mothersbaugh,Animation Family Fantasy Comedy Adventure,
26,845885,1216.791,Dark Blood,,3.3,"['Crime', 'Drama']",Hugo Colace,Crime Drama,
27,800937,1422.239,시니어 이어,,5.9,"['Comedy', 'Drama']",Chris Bender,Comedy Drama,
28,696806,1560.929,애덤 프로젝트,,7.1,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",Josh McLaglen,Action Adventure Comedy Science Fiction,
29,919689,1092.098,War of the Worlds: Annihilation,,5.2,"['Science Fiction', 'Action']",David Michael Latt,Science Fiction Action,
30,774825,1460.63,아이스 에이지: 벅의 대모험,,6.8,"['Animation', 'Comedy', 'Adventure', 'Family']",John C. Donkin,Animation Comedy Adventure Family,
